Folio,Date collection sample,Date DNA extraction,Name of person who did DNA extraction
30099,12/8/2014,15.Nov.16,Claudia Gómez
30104,12/8/2014,15.Nov.16,Claudia Gómez
30114,1/23/2015,6.Dic.16,Claudia Gómez
30170,11/11/2014,19.Ene.17,Lourdes Reyes
30189,2/18/2016,30.Nov.16,Claudia Gómez
30206,1/28/2015,30.NOV.16,Claudia Gómez
30208,2/24/2016,29.nov.16,Claudia Gómez
30213,1/29/2015,19.Ene.17,Lourdes Reyes
30220,2/18/2016,30.NOV.16,Claudia Gómez
30221,2/19/2016,30.Nov.16,Claudia Gómez
30225,2/4/2015,6.Dic.16,Claudia Gómez
30227,2/4/2015,6.Dic.16,Claudia Gómez
30234,2/5/2015,15.Dic.16,Lourdes Reyes
30237,2/6/2015,24.ENE.17,Lourdes Reyes
30238,2/6/2015,6.Dic.16,Claudia Gómez
30250,2/19/2015,30.Nov.16,Claudia Gómez
30252,2/19/2015,1.Nov.16,Claudia Gómez
30254,2/20/2015,1.Nov.16,Claudia Gómez
30267,2/25/2015,10.Nov.16,Claudia Gómez
30284,3/3/2015,14.Nov.16,Lilia Jiménez
30298,3/17/2015,11.Nov.16,Claudia Gómez
30309,3/17/2015,11.Nov.16,Claudia Gómez
30327,3/24/2015,15.Nov.16,Claudia Gómez
30367,5/7/2015,14.Nov.16,Lilia Jiménez
30369,5/8/2015,14.Nov.16,Lilia Jiménez
30371,5/8/2015,14.Nov.16,Lilia Jiménez
30373,5/11/2015,14.Nov.16,Lilia Jiménez
30374,5/11/2015,15.Nov.16,Claudia Gómez
30380,5/27/2015,6.Dic.16,Claudia Gómez
30381,5/27/2015,,
30383,5/26/2015,30.NOV.16,Claudia Gómez
30394,5/21/2015,30.NOV.16,Claudia Gómez
30396,5/22/2015,24.Oct.16,Lilia Jiménez
30398,5/22/2015,09.Dic.16,Claudia Gómez
30399,5/22/2015,15.Dic.16,Lourdes Reyes
30401,5/25/2015,14.Nov.16,Lilia Jiménez
30417,2/24/2016,29.nov.16,Claudia Gómez
30418,2/24/2016,29.nov.16,Claudia Gómez
30423,6/11/2015,15.Dic.16,Lourdes Reyes
30433,6/15/2015,,
30445,3/2/2016,30.NOV.16,Claudia Gómez
30446,3/2/2016,13.NOV.16,Claudia Gómez
30453,3/4/2016,23.nov.16,Lilia Jiménez
30455,6/23/2015,17.ENE.17,Lourdes Reyes
30458,3/3/2016,10.Nov.16,Claudia Gómez
30460,6/24/2015,23.nov.16,Lilia Jiménez
30467,6/25/2015,6.Dic.16,Claudia Gómez
30471,3/9/2016,09.Dic.16,Claudia Gómez
30482,6/30/2015,,
30483,6/30/2015,,
30487,3/11/2016,6.Dic.16,Claudia Gómez
30488,3/10/2016,30.Nov.16,Claudia Gómez
30489,3/10/2016,29.NOV.16,Claudia Gómez
30496,7/9/2015,22.Nov.16,Claudia Gómez
30497,7/9/2015,14.Nov.16,Lilia Jiménez
30498,7/9/2015,14.Nov.16,Lilia Jiménez
30501,3/16/2016,14.Nov.16,Lilia Jiménez
30502,3/16/2016,19.Ene.17,Lourdes Reyes
30507,7/13/2015,09.Dic.16,Claudia Gómez
30516,3/17/2016,25.Oct.16,Claudia Gómez
30517,7/27/2015,15.Dic.16,Lourdes Reyes
30518,7/27/2015,,
30523,10/7/2015,6.Dic.16,Claudia Gómez
30525,3/14/2016,22.Nov.16,Claudia Gómez
30526,3/14/2016,17.ENE.17,Lourdes Reyes
30533,7/29/2015,6.Dic.16,Claudia Gómez
30534,4/6/2016,30.Nov.16,Claudia Gómez
30535,4/6/2016,17.ENE.17,Lourdes Reyes
30537,7/30/2015,15.Nov.16,Claudia Gómez
30539,7/30/2015,09.Dic.16,Claudia Gómez
30540,7/30/2015,15.Nov.16,Claudia Gómez
30558,4/6/2016,,
30563,8/6/2015,29.NOV.16,Claudia Gómez
30566,8/5/2015,6.Dic.16,Claudia Gómez
30567,4/8/2016,15.Dic.16,Lourdes Reyes
30571,4/8/2016,17.ENE.17,Lourdes Reyes
30577,4/8/2016,17.ENE.17,Lourdes Reyes
30580,8/17/2015,30.NOV.16,Claudia Gómez
30582,8/21/2015,09.Dic.16,Claudia Gómez
30585,4/7/2016,,
30587,9/2/2015,,
30588,9/2/2015,09.Dic.16,Claudia Gómez
30590,8/25/2015,6.Dic.16,Claudia Gómez
30597,10/13/2015,24.Oct.16,Lilia Jiménez
30598,9/15/2015,15.Dic.16,Lourdes Reyes
30599,9/10/2015,30.NOV.16,Claudia Gómez
30603,4/12/2016,1.Nov.16,Claudia Gómez
30617,9/29/2015,15.Nov.16,Claudia Gómez
30621,10/1/2015,30.NOV.16,Claudia Gómez
30622,10/2/2015,15.Nov.16,Claudia Gómez
30625,10/1/2015,30.NOV.16,Claudia Gómez
30626,10/7/2015,15.Nov.16,Claudia Gómez
30627,10/7/2015,15.Nov.16,Claudia Gómez
30629,10/6/2015,24.Oct.16,Lilia Jiménez
30632,10/21/2015,17.Nov.16,Claudia Gómez
30640,10/13/2015,6.Dic.16,Claudia Gómez
30641,10/13/2015,30.NOV.16,Claudia Gómez
30654,10/20/2015,17-Oct-16,Lilia Jiménez
30655,10/21/2015,17.ENE.17,Lourdes Reyes
30658,4/13/2016,23.nov.16,Lilia Jiménez
30659,4/13/2016,19.Ene.17,Lourdes Reyes
30667,10/27/2015,17.ENE.17,Lourdes Reyes
30674,10/28/2015,,
30675,4/14/2016,25.Oct.16,Claudia Gómez
