correlated_taxa	correlation	selection_method	taxa
Escherichia/Shigella	positive	abundance	Escherichia/Shigella
Lachnoclostridium	positive	abundance	Escherichia/Shigella
Bacteroides	positive	abundance	Escherichia/Shigella
Flavonifractor	positive	abundance	Escherichia/Shigella
Parasutterella	positive	abundance	Escherichia/Shigella
Veillonella	positive	abundance	Escherichia/Shigella
Escherichia/Shigella	positive	coverage	Escherichia/Shigella
Actinomyces	positive	coverage	Escherichia/Shigella
Blautia	positive	coverage	Escherichia/Shigella
Gemella	positive	coverage	Escherichia/Shigella
Enterococcus	positive	coverage	Escherichia/Shigella
Lactococcus	positive	coverage	Escherichia/Shigella
Lactobacillus	positive	coverage	Escherichia/Shigella
Streptococcus	positive	coverage	Escherichia/Shigella
Weissella	positive	coverage	Escherichia/Shigella
Ruminiclostridium_6	negative	abundance	Escherichia/Shigella
Ruminococcaceae_UCG-002	negative	abundance	Escherichia/Shigella
Ruminococcaceae_UCG-005	negative	abundance	Escherichia/Shigella
Ruminococcaceae_NK4A214_group	negative	abundance	Escherichia/Shigella
Ruminococcaceae_UCG-010	negative	abundance	Escherichia/Shigella
Christensenellaceae_R-7_group	negative	abundance	Escherichia/Shigella
Ruminococcus_1	negative	abundance	Escherichia/Shigella
Ruminococcaceae_UCG-014	negative	abundance	Escherichia/Shigella
Coprococcus_2	negative	abundance	Escherichia/Shigella
Ruminococcaceae_UCG-003	negative	coverage	Escherichia/Shigella
Ruminococcaceae_UCG-002	negative	coverage	Escherichia/Shigella
Ruminococcaceae_UCG-005	negative	coverage	Escherichia/Shigella
Ruminococcaceae_NK4A214_group	negative	coverage	Escherichia/Shigella
Ruminococcaceae_UCG-010	negative	coverage	Escherichia/Shigella
Christensenellaceae_R-7_group	negative	coverage	Escherichia/Shigella
Ruminococcus_1	negative	coverage	Escherichia/Shigella
Family_XIII_UCG-001	negative	coverage	Escherichia/Shigella
Anaerotruncus	negative	coverage	Escherichia/Shigella
Lachnospira	positive	abundance	Veillonella
Escherichia/Shigella	positive	abundance	Veillonella
Lachnoclostridium	positive	abundance	Veillonella
Veillonella	positive	abundance	Veillonella
Flavonifractor	positive	abundance	Veillonella
Bacteroides	positive	abundance	Veillonella
Lachnospira	positive	coverage	Veillonella
Lachnospiraceae_UCG-004	positive	coverage	Veillonella
Lachnospiraceae_UCG-010	positive	coverage	Veillonella
Phascolarctobacterium	positive	coverage	Veillonella
Veillonella	positive	coverage	Veillonella
Lachnoclostridium	positive	coverage	Veillonella
Bacteroides	positive	coverage	Veillonella
Flavonifractor	positive	coverage	Veillonella
Blautia	negative	abundance	Veillonella
Dorea	negative	abundance	Veillonella
Anaerostipes	negative	abundance	Veillonella
Ruminococcaceae_UCG-002	negative	abundance	Veillonella
Lactococcus	negative	abundance	Veillonella
Bifidobacterium	negative	abundance	Veillonella
Ruminococcus_1	negative	abundance	Veillonella
Ruminococcaceae_UCG-010	negative	abundance	Veillonella
