Family	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Anaeroplasmataceae	Bacteroidaceae	Bacteroidales_S24-7_group	Bifidobacteriaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Mitochondria	Moraxellaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Synergistaceae	Thermoanaerobacteraceae	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	vadinBE97
Acidaminococcaceae	1.0	-0.182936263035	-0.0540269027251	0.163159987171	0.0393404532245	0.296647910347	0.0770407963647	-0.194483596157	0.0207716632888	-0.0181720083418	-0.0794684732195	0.131697999007	-0.129593957712	0.0866542535901	-0.0154401852437	-0.0820452673261	-0.043350366023	0.139260892688	0.264577933662	0.0323412786619	-0.00327364002999	-0.231355044235	-0.24198493284	-0.0380112972209	-0.102121219979	-0.0525309683334	-0.0514982728755	-0.0185815428133	-0.208538315284	-0.0186276605061	-0.162649758804	0.020552171464	-0.00213465704435	-0.106668386965	0.0219349177607	-0.0398697273664	-0.0270482717232	0.0562918673101	-0.0245391586136	0.0530421242042	-0.230236886592	0.252875123739	0.152302351925	-0.0135770257765	-0.0418875996269	0.122239123322	0.31650594228	0.201725774983	-0.0508615073366	-0.212460706067	-0.0430906248223	0.0889510684903	0.0523119957677	0.0219213165146	-0.0624546708336	0.108042323013	0.0537074767798	0.0121013780329
Actinomycetaceae	-0.182936263035	1.0	0.0925309453976	-0.0996700027208	-0.0658319035603	-0.145343371651	-0.163688358754	0.189307500729	-0.0227004266739	-0.023862435046	0.243025700558	-0.164718896526	0.0654244007464	-0.162445922648	-0.0326654536958	0.224725130405	0.112631097661	-0.226522681252	-0.0863667953633	-0.0209899679304	0.0998114651001	0.160723300423	0.25476603846	0.000122282844671	0.266242874314	0.0357914305343	0.0675913641044	0.0524768443405	0.245596370214	-0.0714324194481	0.183013823349	-0.0618743074797	-0.0154332648186	0.269055300309	0.138995835689	-0.0250527129468	-0.0489619715965	-0.124254052636	0.0330290339413	-0.0956219599457	0.191055085065	-0.140902091869	-0.191432450021	0.00551379005402	-0.0123125183776	-0.0774029411539	-0.165096213136	-0.252855136939	0.0154361292295	0.375447692136	0.024985245419	-0.13715652263	-0.166228304203	-0.0262188203731	-0.0540093538002	-0.0607127128303	-0.0636452156091	-0.0590877005335
Aerococcaceae	-0.0540269027251	0.0925309453976	1.0	-0.01113870424	0.0171525562251	0.0744794197765	-0.0251616419861	0.0680900849565	0.0425044904021	0.0625829357152	0.0662907243454	-0.120392025159	-0.0343680547603	-0.0821163851068	0.0383295133174	-0.0309126275662	0.051893215721	-0.034657013873	-0.0743064831516	0.0443492905763	0.0641539482248	0.00391337991377	0.0972570310187	0.0557227509627	0.09795395024	-0.0482491570334	0.108156215768	0.108829864034	0.0222641108403	0.0686278838723	6.17768212791e-05	-0.0923210381724	0.0862958485614	-0.0141086982012	-0.0150159140475	0.0618038303145	0.0492869683688	-0.0681391232994	-0.0787004443941	-0.145470551856	0.033016967311	-0.0324636464004	-0.0749424457255	0.0825692983515	0.0373132249928	-0.021417357851	-0.0498722617836	-0.0852203745511	0.0673668589205	0.0256634429425	0.0943373556389	-0.00610755287924	-0.0468850723267	0.10234921549	-0.0135161782414	-0.0658855060943	0.025637086943	0.0472707343488
Alcaligenaceae	0.163159987171	-0.0996700027208	-0.01113870424	1.0	0.0303510603371	0.448063221598	-0.0566029073	0.0131170458038	0.0246096768898	0.0141983581774	-0.0512441063803	-0.0688463845163	-0.104312797552	0.00270418132427	0.00797989758573	-0.125422263238	-0.0277086424425	-0.000729126462226	0.153656875567	-0.0191084192564	0.0877093448626	-0.172257565346	-0.238801537324	-0.101681466943	-0.107209261801	-0.191568326516	0.0308662329146	-0.00311417979806	-0.0680244978511	0.0426874117683	-0.147705906937	-0.145378382663	0.0319767558872	-0.0385593203468	-0.00948513528658	0.0153794741592	0.0132246419514	-0.0170988132617	0.194222816397	-0.11451658962	-0.126889034636	0.31745181034	0.0179506113641	-0.0480255094022	0.0726310282105	0.0522731813411	0.29927030446	0.0603536641256	-0.0108752302707	-0.019525220165	-0.0380880747466	0.0765095581302	0.0325652185655	0.00352049306445	0.24993410016	0.0902554538071	0.0406418703529	0.0093385683506
Anaeroplasmataceae	0.0393404532245	-0.0658319035603	0.0171525562251	0.0303510603371	1.0	0.0608533998565	-0.0327104061321	-0.0061356240696	0.0128712538881	0.0200274768153	-0.0321966393607	0.0359172646946	0.0397112823765	0.109340119394	0.0801553636099	-0.117295641772	-0.0239963286983	0.0747046037099	-0.0553560851371	0.056662861086	-0.0461181023562	0.0266963815052	-0.0189436144269	0.00285972425363	-0.0692328239291	-0.0534129777307	-0.00640898957723	-0.0037050576905	-0.0203858552932	0.0214736641427	-0.116586813538	0.0351382601792	0.0117650379096	-0.0118212012815	-0.0509827343492	0.00614833150674	0.0150054125013	0.0531041064519	-0.0163766514293	-0.0478085249821	0.0171734482718	0.00621587240503	-0.0222678258599	-0.0300926107633	-0.037554075267	-0.0161899150232	0.0111214035438	0.00709443107339	0.033851431704	-0.0367243627717	-0.00960832229998	0.0486731289146	0.0274824026699	0.0486586379964	-0.00480633716529	-0.00723254626595	0.0260726515634	0.0459011574529
Bacteroidaceae	0.296647910347	-0.145343371651	0.0744794197765	0.448063221598	0.0608533998565	1.0	-0.0637653979044	-0.0217645355609	0.0977440902176	0.058414635346	-0.0312204871058	0.00927476007433	-0.173700812487	-0.00426625547599	0.0661682909986	-0.239463392742	-0.00279793832296	0.0910772228077	0.0919591629782	0.0328465594018	0.0792887821325	-0.135232495341	-0.179174869619	0.0325541309697	-0.0741862911644	-0.0778296260636	0.0548961194049	0.238024958672	-0.18110102944	0.105322309904	-0.225800384482	-0.17329873722	0.0750094919429	-0.128085697265	-0.0154026430004	0.0762016331625	0.0953883208909	0.0704041532314	0.0233380236575	-0.153286509427	-0.131738985569	0.600318601852	-0.015097438084	0.00308949578901	0.0399929501375	0.136856951542	0.543783961956	0.284276695969	0.0403793756151	-0.118973906625	-0.0408558437516	0.106832901023	0.101600452928	0.0886084638489	0.103988566107	0.16488325249	0.0924547007249	0.0578017343023
Bacteroidales_S24-7_group	0.0770407963647	-0.163688358754	-0.0251616419861	-0.0566029073	-0.0327104061321	-0.0637653979044	1.0	-0.0865505338662	0.0106040244562	-0.0174685436062	-0.113512631081	0.100064129615	-0.0106069928954	0.099259806497	0.0573655070405	0.0340068091201	-0.000137463336596	0.127223539516	0.120728377613	0.0175406011762	-0.0918287380739	-0.00987842629235	-0.0115069707722	-0.0268527636658	-0.174033082085	0.0860728474767	-0.0400569632161	-0.11577144583	-0.0145089128001	-0.0232620172088	0.0262009248444	0.147966348161	-0.0208093367808	-0.0399791439179	-0.0170479598824	-0.0274604457132	-0.0335802257156	0.0195917536837	-0.0423553889137	0.110420269789	-0.0487175771926	0.00531403353145	0.293810763047	0.00931889972144	0.0038807070309	-0.0915792520248	-0.00154305691049	0.0667804637555	-0.00120116715172	-0.151986648026	0.0516898760829	-0.00626212093375	0.0190475147331	-0.00924769403953	0.0616411377548	-0.126453192683	-0.0104196482273	-0.0205944181356
Bifidobacteriaceae	-0.194483596157	0.189307500729	0.0680900849565	0.0131170458038	-0.0061356240696	-0.0217645355609	-0.0865505338662	1.0	-0.0418932524047	-0.00927869734509	-0.0203160200867	-0.0938967867844	0.152305837996	-0.0219213774155	-0.0339004777267	0.166684914014	-0.0188035304521	-0.0886526458352	-0.063106669207	-0.0607272197634	-0.059767145423	0.116715621752	0.137328140539	0.0835419842925	0.06069249107	0.087991749326	-0.0521630639007	0.154128929234	0.139569174605	-0.0635198732377	0.069922930585	-0.106365018351	-0.00591540514163	0.0763608348351	0.00455837760178	0.00408574615633	-0.0223049710003	-0.061098132433	-0.0499613503405	-0.0900984447455	0.167883781288	-0.0329072709308	-0.108447039326	0.00426347942089	-0.0818137828397	-0.0266950305515	-0.0205346931521	-0.0196085035449	0.0344813747322	0.173776245127	-0.030936494076	-0.0998809488519	-0.0792694674151	-0.0273274416125	0.0110640905491	0.0729094945679	-0.0309661765549	-0.0361896980266
Campylobacteraceae	0.0207716632888	-0.0227004266739	0.0425044904021	0.0246096768898	0.0128712538881	0.0977440902176	0.0106040244562	-0.0418932524047	1.0	0.0362456316439	0.009340268439	-0.084442320669	-0.0530353765557	0.0175926622503	0.03507152551	-0.107276683245	0.0183560937055	0.0295056160716	-0.0337012878345	0.00893502780309	0.0222994815708	-0.0249518013095	-0.0445013316254	-0.0125001925704	0.060997778475	-0.0756362297701	0.0641189070741	-0.0696857812101	-0.0149499872677	0.0621720342518	-0.0345001872522	-0.0151466038873	0.0321157936411	-0.00509580219015	-0.0249681380744	0.0306868060843	0.0409803007376	0.0281245660589	-0.0314324384749	-0.0699839197371	-0.0243832842998	0.00531859563742	0.00643098950153	0.0744804067383	0.0523075970572	-0.0298395223104	-0.0288727810328	-0.0213038913962	0.00876956310026	-0.0220705011716	0.0364390432558	-0.0250421768242	0.012782769428	0.00523814096798	0.0248384790855	-0.0258932788959	0.0441779027851	0.0513519062994
Cardiobacteriaceae	-0.0181720083418	-0.023862435046	0.0625829357152	0.0141983581774	0.0200274768153	0.058414635346	-0.0174685436062	-0.00927869734509	0.0362456316439	1.0	0.0146218288696	-0.0509008512713	0.0305609919702	-0.0482504429087	0.0610186557095	-0.0870534479891	0.0100723029444	-0.0449749427251	-0.0603969932039	0.0199877804039	-0.00861794473391	0.00136094324068	0.00685708857623	0.0165616203691	-0.0153485786254	-0.0939615287519	0.0769428014665	0.0278887261266	0.00482905646601	0.0626772645025	-0.0343368399146	-0.0388350487682	0.062566962986	-0.0361509882117	-0.00829767304071	0.0647892030657	0.120548322576	-0.0120190293538	0.0327596734092	-0.109814163757	0.0120137116414	-0.0160653479897	-0.0527979192605	0.0614159057599	0.0276916364657	-0.0106304896189	-0.0239830638074	-0.00995811388287	0.0706538444754	0.00927588815173	0.0555791313633	0.0348686192354	-0.0381514025122	0.0654478402137	0.0180507904605	-0.0214309635136	0.0275475582431	0.0520582434518
