Family	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Anaeroplasmataceae	Bacteroidaceae	Bacteroidales_S24-7_group	Bifidobacteriaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Mitochondria	Moraxellaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Synergistaceae	Thermoanaerobacteraceae	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	vadinBE97
Acidaminococcaceae	1.0	0.0	0.0774077407741	0.0	0.236723672367	0.0	0.0774077407741	0.0	0.460846084608	0.343834383438	0.0558055805581	0.004500450045	0.00540054005401	0.02700270027	0.615661566157	0.0756075607561	0.178217821782	0.0	0.0	0.258325832583	0.938793879388	0.0	0.0	0.306930693069	0.018901890189	0.242124212421	0.193519351935	0.71197119712	0.0	0.575157515752	0.0	0.667866786679	0.920792079208	0.00990099009901	0.606660666067	0.0630063006301	0.384338433843	0.124212421242	0.613861386139	0.227722772277	0.0	0.0	0.002700270027	0.616561656166	0.169216921692	0.003600360036	0.0	0.0	0.0540054005401	0.0	0.171917191719	0.00630063006301	0.133213321332	0.335733573357	0.17101710171	0.017101710171	0.035103510351	0.596759675968
Actinomycetaceae	0.0	1.0	0.001800180018	0.022502250225	0.044104410441	0.001800180018	0.0	0.0	0.436543654365	0.21602160216	0.0	0.0	0.14401440144	0.0	0.277227722772	0.0	0.0	0.0	0.049504950495	0.437443744374	0.033303330333	0.0	0.0	0.996399639964	0.0	0.402340234023	0.0765076507651	0.248424842484	0.0	0.018901890189	0.0	0.17101710171	0.405940594059	0.0	0.001800180018	0.248424842484	0.0864086408641	0.001800180018	0.438343834383	0.020702070207	0.0	0.003600360036	0.0	0.829882988299	0.664266426643	0.0648064806481	0.0	0.0	0.553555355536	0.0	0.410441044104	0.0	0.0	0.228622862286	0.208820882088	0.164716471647	0.014401440144	0.00810081008101
Aerococcaceae	0.0774077407741	0.001800180018	1.0	0.686768676868	0.444644464446	0.017101710171	0.344734473447	0.025202520252	0.037803780378	0.000900090009001	0.016201620162	0.0	0.243924392439	0.00540054005401	0.0666066606661	0.291629162916	0.021602160216	0.175517551755	0.012601260126	0.025202520252	0.032403240324	0.872187218722	0.0	0.030603060306	0.000900090009001	0.0963096309631	0.000900090009001	0.000900090009001	0.460846084608	0.003600360036	0.997299729973	0.002700270027	0.0	0.618361836184	0.585058505851	0.0	0.021602160216	0.012601260126	0.00720072007201	0.0	0.28802880288	0.2700270027	0.017101710171	0.0	0.0864086408641	0.476147614761	0.0846084608461	0.014401440144	0.000900090009001	0.399639963996	0.0	0.790279027903	0.045904590459	0.0	0.665166516652	0.035103510351	0.194419441944	0.00630063006301
Alcaligenaceae	0.0	0.022502250225	0.686768676868	1.0	0.341134113411	0.0	0.18901890189	0.770477047705	0.401440144014	0.473447344734	0.211521152115	0.142214221422	0.01800180018	0.932493249325	0.799279927993	0.00990099009901	0.37803780378	0.987398739874	0.000900090009001	0.466246624662	0.0621062106211	0.0	0.0	0.00720072007201	0.017101710171	0.0	0.441944194419	0.942394239424	0.132313231323	0.185418541854	0.000900090009001	0.000900090009001	0.0900090009001	0.334833483348	0.819081908191	0.474347434743	0.658865886589	0.665166516652	0.0	0.00630063006301	0.00630063006301	0.0	0.709270927093	0.0792079207921	0.018901890189	0.215121512151	0.0	0.204320432043	0.655265526553	0.668766876688	0.213321332133	0.025202520252	0.34203420342	0.868586858686	0.0	0.0549054905491	0.110711071107	0.699369936994
Anaeroplasmataceae	0.236723672367	0.044104410441	0.444644464446	0.341134113411	1.0	0.0720072007201	0.305130513051	0.851485148515	0.538253825383	0.207920792079	0.265526552655	0.290729072907	0.217821782178	0.000900090009001	0.000900090009001	0.0	0.303330333033	0.00810081008101	0.0999099909991	0.00900090009001	0.165616561656	0.415841584158	0.598559855986	0.927092709271	0.027902790279	0.117911791179	0.820882088209	0.92799279928	0.504050405041	0.368136813681	0.0	0.256525652565	0.45904590459	0.70297029703	0.0855085508551	0.717371737174	0.523852385239	0.049504950495	0.587758775878	0.124212421242	0.579657965797	0.855085508551	0.483348334833	0.143114311431	0.100810081008	0.591359135914	0.72097209721	0.831683168317	0.0900090009001	0.262826282628	0.669666966697	0.048604860486	0.271827182718	0.011701170117	0.872187218722	0.823582358236	0.192619261926	0.014401440144
Bacteroidaceae	0.0	0.001800180018	0.017101710171	0.0	0.0720072007201	1.0	0.141314131413	0.630063006301	0.000900090009001	0.004500450045	0.466246624662	0.856885688569	0.0	0.919891989199	0.038703870387	0.0	0.936093609361	0.019801980198	0.041404140414	0.241224122412	0.104410441044	0.002700270027	0.0	0.394239423942	0.107110711071	0.117911791179	0.18901890189	0.0	0.0	0.000900090009001	0.0	0.0	0.0	0.000900090009001	0.713771377138	0.0	0.004500450045	0.0594059405941	0.634563456346	0.002700270027	0.00540054005401	0.0	0.754275427543	0.918091809181	0.21602160216	0.001800180018	0.0	0.0	0.105310531053	0.013501350135	0.202520252025	0.001800180018	0.003600360036	0.0	0.031503150315	0.0	0.002700270027	0.00990099009901
Bacteroidales_S24-7_group	0.0774077407741	0.0	0.344734473447	0.18901890189	0.305130513051	0.141314131413	1.0	0.040504050405	0.702070207021	0.361836183618	0.000900090009001	0.014401440144	0.80198019802	0.00720072007201	0.0738073807381	0.435643564356	0.993699369937	0.000900090009001	0.003600360036	0.521152115212	0.04500450045	0.823582358236	0.786678667867	0.459945994599	0.0	0.045904590459	0.27902790279	0.00900090009001	0.728172817282	0.448244824482	0.558055805581	0.000900090009001	0.273627362736	0.322232223222	0.664266426643	0.208820882088	0.271827182718	0.56795679568	0.320432043204	0.00720072007201	0.292529252925	0.897389738974	0.0	0.728172817282	0.89198919892	0.024302430243	0.978397839784	0.125112511251	0.959495949595	0.000900090009001	0.0846084608461	0.845184518452	0.5499549955	0.670567056706	0.140414041404	0.002700270027	0.678667866787	0.354635463546
Bifidobacteriaceae	0.0	0.0	0.025202520252	0.770477047705	0.851485148515	0.630063006301	0.040504050405	1.0	0.14401440144	0.642664266427	0.618361836184	0.030603060306	0.001800180018	0.599459945995	0.27902790279	0.0	0.554455445545	0.021602160216	0.163816381638	0.038703870387	0.221422142214	0.00720072007201	0.00720072007201	0.022502250225	0.181818181818	0.0549054905491	0.193519351935	0.0	0.003600360036	0.039603960396	0.11701170117	0.014401440144	0.75697569757	0.0756075607561	0.91899189919	0.865886588659	0.46804680468	0.116111611161	0.267326732673	0.046804680468	0.0	0.466246624662	0.017101710171	0.862286228623	0.00990099009901	0.531053105311	0.662466246625	0.659765976598	0.169216921692	0.0	0.314131413141	0.003600360036	0.020702070207	0.209720972097	0.827182718272	0.114311431143	0.230423042304	0.0909090909091
Campylobacteraceae	0.460846084608	0.436543654365	0.037803780378	0.401440144014	0.538253825383	0.000900090009001	0.702070207021	0.14401440144	1.0	0.022502250225	0.742574257426	0.004500450045	0.0639063906391	0.491449144914	0.0981098109811	0.0	0.381638163816	0.231323132313	0.244824482448	0.63096309631	0.445544554455	0.394239423942	0.13501350135	0.616561656166	0.019801980198	0.014401440144	0.013501350135	0.026102610261	0.623762376238	0.003600360036	0.204320432043	0.585058505851	0.040504050405	0.841584158416	0.348334833483	0.0828082808281	0.0567056705671	0.245724572457	0.264626462646	0.00990099009901	0.416741674167	0.854185418542	0.825382538254	0.0	0.014401440144	0.293429342934	0.334833483348	0.452745274527	0.638163816382	0.418541854185	0.0864086408641	0.268226822682	0.553555355536	0.77497749775	0.387938793879	0.354635463546	0.014401440144	0.003600360036
Cardiobacteriaceae	0.343834383438	0.21602160216	0.000900090009001	0.473447344734	0.207920792079	0.004500450045	0.361836183618	0.642664266427	0.022502250225	1.0	0.44104410441	0.003600360036	0.0927092709271	0.00810081008101	0.0	0.0	0.526552655266	0.012601260126	0.003600360036	0.190819081908	0.652565256526	0.951395139514	0.72097209721	0.330333033303	0.435643564356	0.0	0.0	0.163816381638	0.795679567957	0.0	0.0720072007201	0.042304230423	0.0	0.038703870387	0.657065706571	0.000900090009001	0.0	0.499549954995	0.0711071107111	0.0	0.524752475248	0.398739873987	0.00900090009001	0.000900090009001	0.0855085508551	0.553555355536	0.220522052205	0.580558055806	0.0	0.641764176418	0.000900090009001	0.027902790279	0.017101710171	0.0	0.353735373537	0.258325832583	0.0648064806481	0.0
