Family	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Anaeroplasmataceae	Bacteroidaceae	Bacteroidales_S24-7_group	Bifidobacteriaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Mitochondria	Moraxellaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Synergistaceae	Thermoanaerobacteraceae	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	vadinBE97
Acidaminococcaceae	9.38611237084	-1.19151815246	-0.261330841928	1.36148189543	0.191792809173	1.44141783509	0.72712543657	-1.42854645349	0.0925268231249	-0.0768427954182	-0.528741467077	0.85951386698	-0.930454609599	0.516613026864	-0.07477396866	-0.34588196531	-0.201091418682	0.811754253723	1.93069264528	0.148011467725	-0.0194870816368	-2.11535945568	-0.985708603282	-0.219337264022	-0.671259311263	-0.244613079059	-0.353573809195	-0.0398361628217	-1.8931094215	-0.0915846716282	-1.29674042229	0.240097420671	-0.00904872473244	-0.685847180016	0.137437760934	-0.170980813309	-0.13337691159	0.319733884316	-0.219468266524	0.379286317375	-1.43185327902	1.41045807128	1.24884738776	-0.0606203957113	-0.20252614026	0.945093052164	1.98447233401	0.531526744655	-0.228940547587	-1.08119598778	-0.215628780437	0.442198614097	0.259269369204	0.091177103362	-0.438070142861	1.13120537729	0.23215885599	0.0508335088606
Actinomycetaceae	-1.19151815246	4.51976620437	0.310586594465	-0.577135499905	-0.222712444631	-0.490070927096	-1.07206589172	0.96492669945	-0.070169035635	-0.0700212884287	1.12205931837	-0.745988695185	0.325960745696	-0.672046607452	-0.109774566383	0.657417310431	0.362555248467	-0.9162673313	-0.437342252972	-0.0666599624171	0.41229818505	1.01976277791	0.720139886852	0.000489643929393	1.21441586561	0.115653408142	0.322028081836	0.0780689880899	1.5471303674	-0.243710897549	1.01250838846	-0.501597359665	-0.0453975258837	1.200461654	0.604347820693	-0.0745545212161	-0.167538701237	-0.489743501018	0.204985455589	-0.474481211051	0.824512656174	-0.545364197343	-1.08926469602	0.0170836026167	-0.0413102301499	-0.415276081376	-0.718315773082	-0.462328451675	0.0482155368575	1.32583767157	0.0867606237008	-0.473148844967	-0.571702388741	-0.07567412654	-0.262883193772	-0.441105321421	-0.190911187193	-0.172237399764
Aerococcaceae	-0.261330841928	0.310586594465	2.49273116973	-0.0478991413344	0.0430939854223	0.186500383908	-0.122383367848	0.257744920093	0.0975721867215	0.136380100794	0.227298261716	-0.404917250092	-0.127162845593	-0.25229005859	0.0956590530817	-0.067159144088	0.124052694166	-0.10410734859	-0.279435176738	0.104597114389	0.196804089538	0.018439624049	0.204162547775	0.165701762195	0.331811268453	-0.115784079013	0.382678227974	0.120237146944	0.104157382895	0.173884124728	0.000253816605025	-0.55580865726	0.188514177305	-0.0467491178927	-0.0484860362589	0.136588567911	0.125247218366	-0.199450163863	-0.362730519391	-0.536063455665	0.105817048011	-0.093313873787	-0.316683524206	0.189988610298	0.0929722297087	-0.0853345857375	-0.161145095663	-0.115718292087	0.156269648792	0.0673031780799	0.243277800699	-0.0156468994291	-0.119751058145	0.219380753441	-0.0488570778736	-0.355494005059	0.057110245801	0.102329878189
Alcaligenaceae	1.36148189543	-0.577135499905	-0.0478991413344	7.41840717648	0.131546497193	1.93553199145	-0.474941119305	0.0856564132362	0.0974573835368	0.053376588693	-0.303113225049	-0.399454491045	-0.665825601824	0.0143325589029	0.0343564040455	-0.470068853158	-0.114269013107	-0.00377842422941	0.9968366081	-0.0777455247436	0.464166943169	-1.40021900109	-0.864788286872	-0.521619709117	-0.626497140414	-0.793049749079	0.18840113338	-0.00593542566571	-0.548994077733	0.186585014485	-1.0469114455	-1.50987874618	0.120505293927	-0.220411098327	-0.0528355276819	0.0586351523873	0.0579745675354	-0.0863418672625	1.54427546615	-0.727992881313	-0.701552484022	1.57414356736	0.130856247778	-0.190633211092	0.312198105543	0.359298773533	1.6681659981	0.14137734759	-0.0435195514646	-0.0883352827363	-0.169443695508	0.338138296528	0.143488262908	0.013017725514	1.55853551532	0.840104789308	0.156184039315	0.0348745025212
Anaeroplasmataceae	0.191792809173	-0.222712444631	0.0430939854223	0.131546497193	2.53221264623	0.153582119643	-0.160354710678	-0.0234087026759	0.0297799830378	0.0439879454297	-0.111266968961	0.121754263691	0.148091987752	0.338580719212	0.20162191054	-0.256840479139	-0.0578166312674	0.226177800623	-0.209812859401	0.134692647834	-0.142591790643	0.126784106782	-0.0400802368455	0.0085709922311	-0.236370670416	-0.129186838482	-0.0228551565607	-0.00412570256548	-0.0961227097532	0.0548375251677	-0.482787781217	0.213214750378	0.0259035811432	-0.0394784827876	-0.165920633423	0.0136952069878	0.0384322921448	0.156667288206	-0.0760754242515	-0.177565596502	0.0554738531999	0.0180079126403	-0.0948391795348	-0.0697880726067	-0.0943104672748	-0.0650153829895	0.0362184609893	0.00970931329148	0.0791439540308	-0.0970705042883	-0.0249734595945	0.125678990994	0.0707476196721	0.105120233902	-0.0175105656723	-0.0393319954341	0.0585386790889	0.100148882943
Bacteroidaceae	1.44141783509	-0.490070927096	0.186500383908	1.93553199145	0.153582119643	2.5154254273	-0.311556270844	-0.0827606025118	0.225397831977	0.127874734954	-0.107535293766	0.0313356886809	-0.645617267246	-0.0131669496482	0.165886365339	-0.522608373116	-0.00671895534583	0.274832460718	0.347390054032	0.0778199437419	0.244337697949	-0.640101896278	-0.37783324428	0.0972453146305	-0.252441549355	-0.187616945184	0.195115565653	0.264168527601	-0.851086347358	0.268069684057	-0.93193828027	-1.04806453862	0.164603224517	-0.42633905187	-0.0499606590868	0.169173073925	0.243500125264	0.207016106704	0.10805353762	-0.56743099047	-0.424131743894	1.73339971848	-0.0640868411524	0.00714109121982	0.100101803617	0.547764716777	1.76503135098	0.387764312685	0.094092701616	-0.313429865254	-0.105837839956	0.274937562651	0.260680421498	0.190790705664	0.377595812269	0.893690089749	0.206891358592	0.125695282564
Bacteroidales_S24-7_group	0.72712543657	-1.07206589172	-0.122383367848	-0.474941119305	-0.160354710678	-0.311556270844	9.49055038134	-0.639269474191	0.0474974093548	-0.0742779229735	-0.759443584182	0.656681767302	-0.0765782683442	0.595047611693	0.279351872354	0.144159441852	-0.000641195514128	0.745702668461	0.885873501662	0.0807208037756	-0.549664036736	-0.0908229892803	-0.0471328885495	-0.155808643008	-1.15029429256	0.403026184751	-0.27654656583	-0.249574385451	-0.132442555393	-0.115004458105	0.210048251949	1.73818324913	-0.0886993280546	-0.258480594951	-0.107410144376	-0.118417126833	-0.166505112174	0.111897180938	-0.380911043724	0.793958671873	-0.304657673571	0.0298044551817	2.42255299168	0.041839028119	0.0188672799955	-0.711974207524	-0.00972854628038	0.176935910233	-0.00543675499725	-0.777739339324	0.260095148219	-0.0313033259331	0.0949272860925	-0.0386772364597	0.434762624423	-1.33131299526	-0.0452904241307	-0.0869896556246
Bifidobacteriaceae	-1.42854645349	0.96492669945	0.257744920093	0.0856564132362	-0.0234087026759	-0.0827606025118	-0.639269474191	5.74826832736	-0.146038074138	-0.0307052670317	-0.105782244501	-0.479567875593	0.855761276912	-0.102274872867	-0.128478182759	0.549915955423	-0.0682599253124	-0.404401484952	-0.360379785229	-0.217493969188	-0.278422313172	0.835141053075	0.437769401706	0.377250790808	0.312201462636	0.320650455617	-0.280269705749	0.258586311522	0.991528057387	-0.244399179089	0.436259491758	-0.972420802776	-0.0196231806611	0.384227052309	0.0223514653436	0.0137120104372	-0.0860732974202	-0.271579250656	-0.349680870907	-0.50418416764	0.817067617514	-0.143638737947	-0.695898822211	0.0148971756058	-0.309562059684	-0.161517806428	-0.100757420335	-0.0404328003919	0.121462916351	0.692056983791	-0.12114923382	-0.388574689796	-0.307454960127	-0.0889495539994	0.0607323510508	0.597389076126	-0.104752339945	-0.118966822346
Campylobacteraceae	0.0925268231249	-0.070169035635	0.0975721867215	0.0974573835368	0.0297799830378	0.225397831977	0.0474974093548	-0.146038074138	2.11400984178	0.0727388663465	0.0294929685868	-0.261543842136	-0.180711887959	0.0497757325392	0.0806052278134	-0.214629962152	0.0404102617127	0.0816226542226	-0.116712305113	0.019406388209	0.0629972042255	-0.108272392754	-0.0860287982124	-0.0342315892248	0.190282555226	-0.167149379266	0.208921993954	-0.0709007010265	-0.064408221434	0.145067519045	-0.130536422264	-0.083976095037	0.0646083355047	-0.0155494423467	-0.0742449374778	0.062454887352	0.0959018323716	0.0758122640541	-0.133413804069	-0.237495376252	-0.071965847592	0.0140786714124	0.0250259854748	0.157821727165	0.120024805138	-0.109488079522	-0.08591370051	-0.0266399433093	0.0187336359151	-0.0533026287523	0.0865369388604	-0.0590811463651	0.0300666820424	0.0103396768969	0.0826826443806	-0.12866049693	0.0906287997933	0.1023722995
Cardiobacteriaceae	-0.0768427954182	-0.0700212884287	0.136380100794	0.053376588693	0.0439879454297	0.127874734954	-0.0742779229735	-0.0307052670317	0.0727388663465	1.90508653085	0.043829314455	-0.14966258272	0.0988535713624	-0.129595896466	0.13312972635	-0.165338822134	0.0210496087248	-0.118108321044	-0.198558881982	0.0412113865814	-0.0231118156763	0.00560608521367	0.0125838768554	0.0430543497747	-0.0454524157502	-0.197119151287	0.237996130837	0.0269363585624	0.0197499781009	0.138831811619	-0.123331617608	-0.20439398615	0.119486494344	-0.104719191781	-0.0234229104161	0.125176046027	0.267803831631	-0.0307557897209	0.131997622141	-0.353768455201	0.033660091856	-0.0403699942843	-0.195044651648	0.123540531166	0.0603196360436	-0.0370281564682	-0.0677457916389	-0.0118210293688	0.143279404247	0.021266488564	0.12529973968	0.0780935987273	-0.0851873107701	0.122639100371	0.0570413025355	-0.101088958724	0.0536473277787	0.098518830839
