"","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Butyricicoccus","Butyricimonas","Butyrivibrio","Campylobacter","Candidatus_Soleaferrea","Caproiciproducens","Catabacter","Catenibacterium","Christensenella","Christensenellaceae_R.7_group","Citrobacter","Cloacibacillus","Clostridium_sensu_stricto_1","Collinsella","Coprobacillus","Coprobacter","Coprococcus_1","Coprococcus_2","Coprococcus_3","Corynebacterium","Defluviitaleaceae_UCG.011","Desulfovibrio","Dialister","Dielma","Dorea","Eggerthella","Eisenbergiella","Enterococcus","Enterorhabdus","Erysipelatoclostridium","Erysipelotrichaceae_UCG.003","Erysipelotrichaceae_UCG.004","Escherichia.Shigella","Eubacterium","Ezakiella","Faecalibacterium","Faecalitalea","Family_XIII_AD3011_group","Family_XIII_UCG.001","Finegoldia","Flavonifractor","Fusicatenibacter","Fusobacterium","Gelria","Gemella","Gordonibacter","Granulicatella","Haemophilus","Holdemanella","Holdemania","Howardella","Hungatella","Hydrogenoanaerobacterium","Intestinibacter","Intestinimonas","Klebsiella","Lachnoclostridium","Lachnospira","Lachnospiraceae_AC2044_group","Lachnospiraceae_FCS020_group","Lachnospiraceae_ND3007_group","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4B4_group","Lachnospiraceae_UCG.001","Lachnospiraceae_UCG.003","Lachnospiraceae_UCG.004","Lachnospiraceae_UCG.010","Lactobacillus","Lactococcus","Leuconostoc","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methanosphaera","Mogibacterium","Murdochiella","Odoribacter","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Phascolarctobacterium","Porphyromonas","Prevotella","Prevotella_2","Prevotella_6","Prevotella_7","Prevotella_9","Propionibacterium","Pseudobutyrivibrio","Pseudomonas","Rikenellaceae_RC9_gut_group","Romboutsia","Roseburia","Rothia","Ruminiclostridium_5","Ruminiclostridium_6","Ruminiclostridium_9","Ruminococcaceae_NK4A214_group","Ruminococcaceae_UCG.002","Ruminococcaceae_UCG.003","Ruminococcaceae_UCG.004","Ruminococcaceae_UCG.005","Ruminococcaceae_UCG.009","Ruminococcaceae_UCG.010","Ruminococcaceae_UCG.011","Ruminococcaceae_UCG.013","Ruminococcaceae_UCG.014","Ruminococcus_1","Ruminococcus_2","Scardovia","Sellimonas","Senegalimassilia","Slackia","Solobacterium","Streptococcus","Subdoligranulum","Sutterella","Terrisporobacter","Turicibacter","Tyzzerella","Tyzzerella_3","Tyzzerella_4","Veillonella","Weissella","status"
"30099",34,39,42,139,0,0,2,0,0,764,0,65,14271,19,6265,668,23483,59,5,0,2,0,0,0,29,0,23,171,0,554,939,0,0,20,20,27,0,0,0,75,0,899,98,254,47,0,25,2585,0,3490,0,4,8164,0,12,0,0,0,1043,30,0,102,17,0,6778,162,0,6,0,0,145,0,299,47,87,0,0,5,105,0,0,0,0,0,6366,3500,79,0,5,0,0,0,5,0,0,0,0,0,0,1290,19,0,0,0,0,0,4,7,0,0,10014,394,5,0,0,5,84,14364,25,76,64,0,0,45,0,0,0,0,0,0,1345,13,37,5438,0,81,83,0,5,1787,101,4,91,142,15,0,0,73,114,1
"30104",48,317,12421,362,0,83,25,0,0,3446,0,10,1933,159,7550,0,12884,77,14,0,0,0,133,0,0,0,521,0,0,580,3189,0,7,23,0,380,0,0,8,0,0,496,96,0,30,0,0,436,0,2381,0,0,1930,0,184,18,108,0,506,6,0,18,98,0,528,36,0,0,0,0,127,0,0,0,9,0,24,8,125,0,18,0,0,9,347,17,44,46,0,0,0,0,0,0,8,0,9,0,0,183,21,8,0,0,12,11,0,0,25,0,0,250,0,0,0,5,399,947,3,278,118,56,17,104,0,0,58,0,0,0,307,736,622,0,0,24,0,0,0,858,1623,13,9,258,0,536,0,110,79,1
"30114",10,0,30110,5668,43,0,0,0,22,865,395,0,10352,713,3132,70,6521,0,63,0,0,0,0,12,0,0,3195,0,57,2028,2880,0,125,601,234,791,0,12,664,0,0,1535,0,0,39,1258,6,414,0,3067,12,0,1037,0,766,42,0,94,665,0,14,0,0,0,0,9892,0,501,0,0,0,22,0,0,29,107,188,39,343,0,0,0,0,54,12,71,0,416,0,0,22123,1442,995,0,220,0,156,0,0,540,375,0,0,0,0,1705,0,0,0,0,0,88,0,19,0,260,577,1784,21,279,35,101,7669,8352,360,0,1303,0,829,5,2272,15898,666,0,0,0,37,297,0,72,3584,0,0,0,0,0,0,14,365,2
"30170",0,0,2774,1030,12,0,0,0,0,127,32,0,2705,277,3253,6,696,254,0,0,0,0,7,0,0,24,2735,0,0,153,2013,0,0,47,77,177,0,0,0,4376,0,424,0,0,0,1430,9,473,7,289,0,5,1757,0,825,16,0,18,242,0,0,9,13,30,638,364,11,0,0,0,279,0,0,86,1580,1309,29,41,2488,95,39,0,14,77,0,0,0,0,0,0,8,0,0,0,146,0,10,0,0,1020,388,0,0,0,4,0,0,5,0,0,0,6040,0,15,0,0,333,6943,10,224,716,35,3714,5563,89,0,803,0,455,0,58,24753,106,0,0,0,181,2081,0,502,11824,19,543,195,0,0,0,357,0,4
"30189",60,0,5387,888,0,0,0,0,0,769,126,5,16510,116,3867,38,11949,0,0,0,0,0,0,0,0,0,353,0,0,5026,1990,0,15,64,0,237,19,0,0,0,0,997,0,0,57,0,11,1083,0,7897,0,0,16003,0,98,25,5,0,4832,0,0,53,12,0,360,0,12,0,0,0,0,0,0,146,425,13,139,165,428,0,1153,1522,10,24,328,328,127,481,1136,0,5,0,0,0,30,0,26,0,9,77,186,2037,9,0,0,4375,10,0,0,12,0,57,0,0,0,0,1186,14829,0,241,584,0,510,685,35,0,28,0,0,0,754,33908,818,9620,0,0,0,0,0,883,3602,24,0,29,0,1272,0,99,0,5
"30206",4,0,4532,3257,0,0,0,0,0,371,119,0,11846,1030,39,83,1337,19,263,0,0,0,0,0,0,0,13729,0,0,2823,51,0,0,69,171,78,0,0,0,0,0,157,0,0,0,0,1268,114,0,39,0,0,21391,0,53,26,0,19,923,0,12,6,0,0,6,0,34,0,0,0,207,0,0,54,100,386,12,21,1261,0,15,0,0,30,0,0,0,247,0,0,0,0,0,0,74,0,51,0,0,2337,220,9,0,0,0,613,14,10,0,23,0,0,0,0,0,0,1326,510,3,819,10,60,295,3131,226,0,8174,0,99,0,118,2742,7258,173,0,0,27,0,0,33,1152,49,196,66,0,0,0,35,0,5
"30208",0,0,0,1769,35,12073,4,0,0,115,48,0,34774,0,927,377,798,365,564,0,0,0,11,0,49,0,282,0,0,0,1311,0,0,8,0,54,0,0,8,18,0,158,0,61,0,0,14,3,0,238,0,78,11482,0,263,137,0,863,61,0,0,0,0,0,116,513,22,0,56,0,254,0,0,2326,403,0,0,0,158,0,0,0,59,39,9,0,0,0,0,0,4,0,283,2,76,0,149,0,7,1558,3719,144,0,0,5,6988,174,12,102,6,0,8733,0,0,0,0,0,2360,10,629,0,69,31,354,273,0,57,0,0,0,0,0,282,32,0,0,0,24,0,75,313,1055,0,0,0,0,0,103,0,2
"30213",15,0,0,32,27,1584,0,0,0,1042,254,0,220,4,71,0,168,0,2,0,0,0,0,0,169,0,771,0,0,44,602,0,0,32,559,157,0,19,1218,11514,0,240,0,0,0,296,0,7,0,32,0,13,3887,0,82,6,0,15,78,22,0,0,0,10,46,485,22,0,0,0,7,34,0,70,1441,269,36,21,1290,66,23,0,19,23,9,29,7,52,0,5685,2861,0,0,0,0,75,57,0,0,32,26,0,0,27,0,95,2,0,32,0,0,6221,0,160,0,0,17,8296,15,131,278,18,860,3538,128,0,950,56,355,0,266,17400,99,914,0,0,135,201,0,253,2495,0,30,14,0,0,0,401,64,3
"30220",388,0,16,0,0,15,131,0,0,483,81,28,77,0,6609,0,9540,282,0,0,0,0,0,0,0,0,4427,0,0,1432,8199,0,0,119,224,668,0,0,109,1271,0,4658,0,0,0,0,3,1974,0,12546,0,417,1073,0,225,0,21,0,773,0,0,32,49,6,0,2152,4,659,0,0,2418,24,0,12,155,0,142,0,327,0,0,0,0,5,366,42,16,201,0,35,1964,0,26,14,0,0,0,0,0,4,75,0,0,37,227,10,534,162,69,108,0,180,0,86,0,5,905,3876,0,44,204,62,234,112,14,0,133,0,76,4,711,2041,438,92,0,0,47,206,5,686,3779,0,583,1515,0,0,0,8,0,3
"30221",9,0,11,10,728,3,29,4,0,3685,0,16,13455,0,1512,0,6816,1095,0,0,0,0,0,0,0,0,4,0,0,5,75,0,0,20,0,10557,0,0,0,15076,0,4495,460,0,472,0,0,5163,0,20704,0,18,5927,0,26,0,6,638,500,0,0,0,0,14,0,0,0,0,0,0,0,661,0,569,195,0,0,0,0,0,0,0,7,0,429,3,0,0,0,0,6,0,5,3,0,0,3,0,0,157,0,542,0,0,0,0,83,135,1057,6,904,0,4,0,0,0,0,3861,62,1266,0,0,20,5,0,0,0,0,0,0,0,18,6,281,0,0,0,16,0,506,17526,0,0,0,0,0,17,0,0,5
